id,latin,family,common,space,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
0,Aeschynanthus lobianus,Gesneriaceae,Lipstick,low,Java,Tropical,medium,Direct sunlight,high,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
1,Adiantum raddianum,Polypodiaceae,"Maindenhair, Delta maidenhair",low,Brazil,Tropical,medium,Diffused,high,"['Mealy bug', 'Aphid', 'Snail']",Gray mold,"['Potted plant', 'Ground cover', 'Table top']",30,86.0,12,53.6
2,Aechmea fatsiata,Bromeliaceae,Silver vase,low,Brazil,Tropical humid,medium,Diffused,low,,,"['Flower', 'Table top', 'Tertiary']",30,20.0,12,53.6
3,Agave angustilolia Marginata,Amaryllidaceae,"Variegated Carabbean Agave, Century plant",low, India,Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
4,Aechmea ramosa,Bromeliaceae,Coral berry,low,Brazil,Subtropical,medium,Diffused,low,,,"['Flower', 'Table top', 'Primary']",30,20.0,12,53.6
6,Agave filifera,Amaryllidaceae,"Thread Agave, Century plant",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
7,Adiantum hispidulum,Polypodiaceae,"Rosy Maidenhair, Autralian maidenhair",low,Australia & New Guinea,Tropical,medium,Diffused,high,"['Mealy bug', 'Aphid', 'Snail']",Gray mold,"['Table top', 'Ground cover', 'Tertiary']",30,20.0,12,53.6
8,Agave attenuata,Amaryllidaceae,"Dragon tree Agave, Century plant",low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
9,Aglaonema,Araceae,"Chinese Evergreen, Amelia",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
10,Aglaonema,Araceae,"Chinese Evergreen, Painted Princess",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
11,Aglaonema,Araceae,"Chinese Evergreen, Queen of Siam",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
12,Aglaonema,Araceae,"Chinese Evergreen, Jewel of India",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Table top', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
13,Aglaonema,Araceae,"Chinese Evergreen, Patricia",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
14,Aglaonema,Araceae,"Chinese Evergreen, Green Lady",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
15,Aglaonema,Araceae,"Chinese Evergreen, Black Lance",low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
